episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1799.41,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1759.86,0.9971
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1774.69,0.9883
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1756.58,0.9795
5,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1794.82,0.9708
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1776.89,0.962
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1798.61,0.9532
8,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1783.58,0.9445
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1743.36,0.9357
10,1,mall_small,0.25,0,183.0,300,0.0,0.0,1.0,-1434.48,0.9278
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1795.69,0.919
12,1,mall_small,0.25,0,145.0,300,0.0,0.0,1.0,-1474.64,0.9114
13,1,mall_small,0.25,0,21.0,300,0.0,0.0,1.0,-1272.72,0.9046
14,1,mall_small,0.5,0,142.5,300,0.0,0.0,1.0,-1090.4,0.8982
15,1,mall_small,0.5,0,135.5,300,0.0,0.0,1.0,-1027.57,0.8918
16,1,mall_small,0.25,0,199.0,300,0.0,0.0,1.0,-1495.06,0.8838
17,1,mall_small,0.25,0,50.0,300,0.0,0.0,1.0,-1272.65,0.8769
18,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1682.52,0.8681
19,1,mall_small,0.5,0,116.5,300,0.0,0.0,1.0,-1004.41,0.862
20,1,mall_small,0.25,0,203.0,300,0.0,0.0,1.0,-1493.74,0.8539
21,1,mall_small,0.75,0,176.67,300,0.0,0.0,1.0,-883.3,0.8479
22,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1716.78,0.8391
23,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1724.26,0.8303
24,1,mall_small,0.5,0,137.5,300,0.0,0.0,1.0,-993.24,0.8239
25,1,mall_small,0.5,0,210.0,300,0.0,0.0,1.0,-1178.17,0.8165
26,1,mall_small,0.25,0,262.0,300,0.0,0.0,1.0,-1484.99,0.808
27,1,mall_small,0.5,0,33.0,300,0.0,0.0,1.0,-739.1,0.8031
28,1,mall_small,0.25,0,15.0,300,0.0,0.0,1.0,-1192.98,0.7964
29,1,mall_small,0.25,0,209.0,300,0.0,0.0,1.0,-1416.0,0.7883
30,1,mall_small,0.25,0,169.0,300,0.0,0.0,1.0,-1320.26,0.7805
31,1,mall_small,0.25,0,143.0,300,0.0,0.0,1.0,-1452.0,0.7729
32,1,mall_small,0.25,0,80.0,300,0.0,0.0,1.0,-1285.6,0.7657
33,1,mall_small,0.75,0,190.0,300,0.0,0.0,1.0,-816.59,0.7594
34,1,mall_small,0.25,0,235.0,300,0.0,0.0,1.0,-1579.6,0.7511
35,1,mall_small,0.25,0,52.0,300,0.0,0.0,1.0,-1209.09,0.7441
36,1,mall_small,0.5,0,160.0,300,0.0,0.0,1.0,-1114.99,0.7374
37,1,mall_small,0.5,0,214.5,300,0.0,0.0,1.0,-1192.65,0.7299
