episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
67,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-113.82,0.7883
68,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-139.55,0.772
69,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-134.75,0.7557
70,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-137.05,0.7394
71,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-112.17,0.7231
72,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-123.22,0.7069
73,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-129.67,0.6906
74,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-139.25,0.6743
75,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-102.3,0.658
76,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-131.6,0.6417
77,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-144.52,0.6254
78,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-129.46,0.6091
79,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-147.69,0.5929
80,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-173.88,0.5766
81,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-148.58,0.5603
82,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-149.68,0.544
83,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-151.95,0.5277
84,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-136.1,0.5114
85,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-142.86,0.4951
86,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-142.89,0.4789
87,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-125.07,0.4626
88,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-149.8,0.4463
89,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-114.24,0.43
90,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-150.68,0.4137
91,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-150.72,0.3974
92,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-138.49,0.3811
93,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-151.23,0.3649
94,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-152.07,0.3486
95,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-148.44,0.3323
96,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-163.61,0.316
97,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-146.38,0.2997
98,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-145.71,0.2834
99,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-153.83,0.2671
100,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-147.46,0.2509
101,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-148.61,0.2346
102,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-153.23,0.2183
103,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-180.5,0.202
104,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-166.94,0.1857
105,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-179.69,0.1694
106,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-153.89,0.1531
107,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-190.82,0.1369
108,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-160.57,0.1206
109,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-182.85,0.1043
110,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-168.59,0.088
111,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-191.29,0.0717
112,2,school_small,0.25,0,114.0,300,0.0,0.0,1.0,-34.15,0.058
113,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-172.5,0.05
114,2,school_small,0.25,0,104.0,300,0.0,0.0,1.0,-30.04,0.05
115,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-98.11,0.05
116,2,school_small,0.25,0,259.0,300,0.0,0.0,1.0,-72.22,0.05
117,2,school_small,0.25,0,186.0,300,0.0,0.0,1.0,-57.33,0.05
118,2,school_small,0.25,0,170.0,300,0.0,0.0,1.0,-76.24,0.05
119,2,school_small,0.25,0,204.0,300,0.0,0.0,1.0,-46.63,0.05
120,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-120.49,0.05
121,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-122.92,0.05
122,2,school_small,0.25,0,273.0,300,0.0,0.0,1.0,-56.02,0.05
123,2,school_small,0.25,0,146.0,300,0.0,0.0,1.0,-28.09,0.05
124,2,school_small,0.5,0,207.0,300,0.0,0.0,1.0,27.8,0.05
125,2,school_small,0.25,0,288.0,300,0.0,0.0,1.0,-31.7,0.05
126,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-136.7,0.05
127,2,school_small,0.25,0,249.0,300,0.0,0.0,1.0,-53.63,0.05
128,2,school_small,0.5,0,208.5,300,0.0,0.0,1.0,55.24,0.05
129,2,school_small,0.25,0,48.0,300,0.0,0.0,1.0,-9.39,0.05
130,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-110.41,0.05
131,2,school_small,0.5,0,59.5,300,0.0,0.0,1.0,107.25,0.05
132,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-120.24,0.05
133,2,school_small,0.25,0,60.0,300,0.0,0.0,1.0,-5.91,0.05
134,2,school_small,0.25,0,148.0,300,0.0,0.0,1.0,-12.76,0.05
135,2,school_small,0.25,0,64.0,300,0.0,0.0,1.0,2.05,0.05
136,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-114.19,0.05
137,2,school_small,0.25,0,87.0,300,0.0,0.0,1.0,-3.0,0.05
138,2,school_small,0.75,0,67.0,300,0.0,0.0,1.0,210.01,0.05
139,2,school_small,0.5,0,167.5,300,0.0,0.0,1.0,85.37,0.05
140,2,school_small,0.25,0,23.0,300,0.0,0.0,1.0,-0.71,0.05
141,2,school_small,0.25,0,175.0,300,0.0,0.0,1.0,-13.48,0.05
142,2,school_small,0.5,0,78.0,300,0.0,0.0,1.0,104.68,0.05
143,2,school_small,0.25,0,72.0,300,0.0,0.0,1.0,4.03,0.05
144,2,school_small,0.5,0,76.5,300,0.0,0.0,1.0,110.3,0.05
145,2,school_small,0.25,0,20.0,300,0.0,0.0,1.0,10.41,0.05
146,2,school_small,0.5,0,85.0,300,0.0,0.0,1.0,107.79,0.05
147,2,school_small,0.5,0,164.0,300,0.0,0.0,1.0,91.56,0.05
148,2,school_small,0.5,0,73.5,300,0.0,0.0,1.0,114.33,0.05
149,2,school_small,0.25,0,54.0,300,0.0,0.0,1.0,9.25,0.05
150,2,school_small,0.5,0,110.5,300,0.0,0.0,1.0,82.49,0.05
151,2,school_small,0.5,0,46.5,300,0.0,0.0,1.0,115.09,0.05
152,2,school_small,0.5,0,73.5,300,0.0,0.0,1.0,102.03,0.05
153,2,school_small,0.25,0,288.0,300,0.0,0.0,1.0,-16.4,0.05
154,2,school_small,0.25,0,170.0,300,0.0,0.0,1.0,-9.16,0.05
155,2,school_small,0.25,0,192.0,300,0.0,0.0,1.0,-24.15,0.05
156,2,school_small,0.5,0,100.5,300,0.0,0.0,1.0,101.07,0.05
157,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-134.73,0.05
