episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
64,1,mall_small,1.0,1,134.25,218,0.0,0.0,1.0,-294.19,0.593
65,1,mall_small,0.75,0,84.33,300,0.0,0.0,1.0,-443.55,0.589
66,1,mall_small,1.0,1,102.0,210,0.0,0.0,1.0,-139.15,0.586
67,1,mall_small,1.0,1,132.25,228,0.0,0.0,1.0,-296.83,0.5821
68,1,mall_small,0.75,0,153.33,300,0.0,0.0,1.0,-671.57,0.5766
69,1,mall_small,1.0,1,149.75,280,0.0,0.0,1.0,-414.36,0.5722
70,1,mall_small,1.0,1,112.0,209,0.0,0.0,1.0,-188.11,0.5689
71,1,mall_small,1.0,1,137.25,268,0.0,0.0,1.0,-340.95,0.5649
72,1,mall_small,1.0,1,141.25,266,0.0,0.0,1.0,-318.7,0.5608
73,1,mall_small,1.0,1,124.0,198,0.0,0.0,1.0,-260.51,0.5572
74,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1764.92,0.9937
75,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1710.82,0.9873
76,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1760.97,0.981
77,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1746.68,0.9747
78,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1754.59,0.9683
79,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1698.58,0.962
80,2,school_small,0.25,0,21.0,300,0.0,0.0,1.0,-1218.44,0.9571
81,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1756.57,0.9508
82,2,school_small,0.25,0,138.0,300,0.0,0.0,1.0,-1432.49,0.9453
83,2,school_small,0.25,0,99.0,300,0.0,0.0,1.0,-1354.93,0.9401
84,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1739.42,0.9337
85,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1729.09,0.9274
86,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1649.79,0.9211
87,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1731.85,0.9147
88,2,school_small,0.25,0,146.0,300,0.0,0.0,1.0,-1403.67,0.9092
89,2,school_small,0.25,0,36.0,300,0.0,0.0,1.0,-1224.72,0.9043
90,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1706.32,0.8979
91,2,school_small,0.25,0,31.0,300,0.0,0.0,1.0,-1273.49,0.893
92,2,school_small,0.25,0,47.0,300,0.0,0.0,1.0,-1302.59,0.888
93,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1757.39,0.8817
94,2,school_small,0.25,0,173.0,300,0.0,0.0,1.0,-1323.71,0.876
95,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1712.63,0.8697
96,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1699.87,0.8634
97,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1692.17,0.857
98,2,school_small,0.5,0,98.0,300,0.0,0.0,1.0,-972.79,0.8528
99,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1757.83,0.8465
100,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1745.87,0.8402
101,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1757.4,0.8338
102,2,school_small,0.25,0,221.0,300,0.0,0.0,1.0,-1467.73,0.8279
103,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1728.04,0.8216
104,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1729.98,0.8152
105,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1723.26,0.8089
106,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1696.63,0.8026
107,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1630.05,0.7962
108,2,school_small,0.5,0,76.5,300,0.0,0.0,1.0,-879.54,0.7923
109,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1696.43,0.7859
110,2,school_small,0.5,0,124.0,300,0.0,0.0,1.0,-1013.53,0.7815
111,2,school_small,0.5,0,110.5,300,0.0,0.0,1.0,-947.17,0.7771
112,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1715.8,0.7708
113,2,school_small,0.0,0,300,300,0.0,0.0,1.0,-1712.56,0.7645
